legal_name,company_number,country,regulator,jurisdiction,license_number,license_type,status,source_status,license_date,termination_date,approved_domains,source_url,first_seen,last_seen
ABF Trade EU Limited (ex X Global Markets Ltd),291958 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,171/12,Cyprus Investment Firm,ACTIVE,Current investment firm,15/06/2012,,abftrade.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
AC Markets (Europe) Ltd,348274 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,350/17,Cyprus Investment Firm,ACTIVE,Current investment firm,11/12/2017,,acprime.eu; ausforex.eu; ausprime.eu; lt-markets.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
AFX Capital Markets Ltd,253014 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,119/10,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,09/07/2010,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
AJF Financial Services Ltd,346486 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,295/16,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,11/02/2016,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
ALMA Europe Ltd,401229 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,408/22,Cyprus Investment Firm,ACTIVE,Current investment firm,31/01/2022,,almaeurope.finance,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
AMFF Ltd,279568 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,241/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,01/07/2014,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
AMG Kapital Ltd,235124 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,110/10,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,14/01/2010,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
AMP Global Ltd,369267 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,360/18,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,04/06/2018,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
APME FX Trading Europe Ltd,347219 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,335/17,Cyprus Investment Firm,ACTIVE,Current investment firm,10/08/2017,,apmefx.com; monestia.com; ozios.com; oziotrader.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
ATFX Global Markets (Cy) Ltd,340674 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,285/15,Cyprus Investment Firm,ACTIVE,Current investment firm,17/12/2015,,atfx.eu; atfxconnect.com; atfxgm.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Abris-Cee Holdings Ltd,209705 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,389/20,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,27/07/2020,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Accuindex EU Ltd,360650 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,340/17,Cyprus Investment Firm,ACTIVE,Current investment firm,23/10/2017,,accuindex.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Admirals Europe Ltd (ex Admiral Markets Cyprus Ltd),310328 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,201/13,Cyprus Investment Firm,ACTIVE,Current investment firm,14/06/2013,,admiralmarkets.com.cy; admirals.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Aeonic Securities C.I.F. Plc,304867 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,177/12,Cyprus Investment Firm,ACTIVE,Current investment firm,04/09/2012,,aeonic.com.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Agentrisk Europe Limited - Under examination for voluntary renunciation,359990 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,354/17,Cyprus Investment Firm,SURRENDER_PENDING,Under examination for voluntary renunciation,28/12/2017,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Airfinance Pro Ltd,308115 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,206/13,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,11/07/2013,09/11/2016,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Aksys Global Markets Europe Ltd,437574 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,456/25,Cyprus Investment Firm,ACTIVE,Current investment firm,14/04/2025,,aksysglobalmarkets.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Albourne Cyprus Limited,HE 393704 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,404/21,Cyprus Investment Firm,ACTIVE,Current investment firm,,,albourne.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Alfa Capital Holdings (Cyprus) Ltd,78416 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,025/04,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,04/05/2004,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Alfa Capital Markets Ltd,ΗΕ 404988 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,387/20,Cyprus Investment Firm,ACTIVE,Current investment firm,16/07/2020,,alfacapital.com.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Amana Capital Ltd,281953 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,155/11,Cyprus Investment Firm,ACTIVE,Current investment firm,21/10/2011,,amanacapital.com.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Aquilla Nummus Ltd,353286 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,345/17,Cyprus Investment Firm,ACTIVE,Current investment firm,04/12/2017,,aquillanummus.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Argo Capital Management (Cyprus) Ltd,110205 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,023/04,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,30/03/2004,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Argus Stockbrokers Ltd,108270 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,010/03,Cyprus Investment Firm,ACTIVE,Current investment firm,12/05/2003,,argus.com.cy; argusglobaltrader.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Aristeus Financial Services Ltd,HE357502 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,324/17,Cyprus Investment Firm,ACTIVE,Current investment firm,15/05/2017,,aristeus.com.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Arumpro Capital Ltd,352951 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,323/17,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,25/04/2017,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Asset Management Advisory Services (AMASS) Ltd,283219 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,167/12,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,21/03/2012,13/03/2017,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Athlos Capital Investment Services Ltd,362228 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,348/17,Cyprus Investment Firm,ACTIVE,Current investment firm,11/12/2017,,athloscapital.com; usesophic.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Atlantic Securities Ltd,119857 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,005/03,Cyprus Investment Firm,ACTIVE,Current investment firm,12/05/2003,,atlanticfs.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Atlas Capital Financial Services Ltd,214806 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,085/07,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,31/10/2007,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Axia Ventures Group Ltd,221203 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,086/07,Cyprus Investment Firm,ACTIVE,Current investment firm,31/10/2007,,axiacm.com; axiavg.com; axiavg.gr,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Ayers Alliance Financial Group Ltd,315127 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,230/14,Cyprus Investment Firm,SURRENDER_PENDING,Under examination for voluntary renunciation,26/03/2014,,aafg.co,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Ayomi Financial Services Limited,411518 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,402/21,Cyprus Investment Firm,ACTIVE,Current investment firm,19/07/2021,,ayomi.fr,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
B.I.S. Blueport Investment Services Ltd,350108 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,302/16,Cyprus Investment Firm,ACTIVE,Current investment firm,07/06/2016,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
B.O. Tradefinancials Ltd,295102 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,216/13,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,27/09/2013,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
B2B Prime Services EU Ltd,357630 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,370/18,Cyprus Investment Firm,ACTIVE,Current investment firm,05/11/2018,,b2prime.com; menasecurities.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
BCM Begin Capital Markets CY Ltd,338839 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,274/15,Cyprus Investment Firm,SURRENDER_PENDING,Under examination for voluntary renunciation,23/04/2015,,begincapitalmarkets.com; capitalpanda.com; profitlevel.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
BM Zenith Investment Limited,ΗΕ 406814 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,445/24,Cyprus Investment Firm,ACTIVE,Current investment firm,17/06/2024,,bmzenithinvestment.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Banc De Binary Ltd,301698 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,188/13,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,07/01/2013,15/01/2017,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Belight Capital Group Ltd,345448 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,364/18,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,23/07/2018,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Best Choice FBC Ltd,311543 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,234/14,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,16/05/2014,05/02/2018,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Blacktower Financial Management (Cyprus) Ltd,ΗΕ 389171 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,386/20,Cyprus Investment Firm,ACTIVE,Current investment firm,09/06/2020,,blacktowerfm.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Blackwell Global Investments (Cyprus) Ltd,280678 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,159/11,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,20/12/2011,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Bogofinance Capital Markets Ltd,350309 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,321/17,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,20/04/2017,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Boson Alfa Ltd,349777 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,314/16,Cyprus Investment Firm,ACTIVE,Current investment firm,20/09/2016,,bosonalfa.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
BrightPool Ltd,364491 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,378/19,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,06/08/2019,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Broctagon Prime Ltd,360194 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,320/17,Cyprus Investment Firm,ACTIVE,Current investment firm,20/04/2017,,broctagonprime.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
CDJ Social Stocks Ltd,HE427157 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,428/23,Cyprus Investment Firm,ACTIVE,Current investment firm,20/03/2023,,goliaths.io,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
CEX Markets Ltd,389553 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,381/19,Cyprus Investment Firm,ACTIVE,Current investment firm,,,cexbro.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
CTCAP LTD (ex CT CAPITALLTRADERS LTD),ΗΕ 405809 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,425/23,Cyprus Investment Firm,ACTIVE,Current investment firm,20/02/2023,,ctcap.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
CTS Cloud Trading Solutions Ltd,292182 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,224/14,Cyprus Investment Firm,ACTIVE,Current investment firm,04/02/2014,,cloud-trading.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Capital Com Group Ltd,ΗΕ 446198 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,463/25,Cyprus Investment Firm,ACTIVE,Current investment firm,10/11/2025,,capital.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Capital Com SV Investments Ltd,354252 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,319/17,Cyprus Investment Firm,ACTIVE,Current investment firm,07/04/2017,,capital.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Capital Index (Cyprus) Ltd,331266 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,249/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,10/10/2014,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Centaur Financial Services Ltd,109917 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,018/03,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,19/06/2003,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Charlgate Ltd,372060 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,367/18,Cyprus Investment Firm,ACTIVE,Current investment firm,30/07/2018,,dealing.com; fxview.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Chase Buchanan Ltd,343180 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,287/15,Cyprus Investment Firm,ACTIVE,Current investment firm,22/12/2015,,chasebuchanan.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Claremont Square Capital Ltd (ex Afterprime Europe Limited),ΗΕ 360438 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,368/18,Cyprus Investment Firm,ACTIVE,Current investment firm,30/07/2018,,afterprime.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Coinbase Financial Services Europe Ltd,350475 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,374/19,Cyprus Investment Firm,ACTIVE,Current investment firm,15/04/2019,,coinbase.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Colmex Pro Ltd,260064 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,123/10,Cyprus Investment Firm,ACTIVE,Current investment firm,19/10/2010,,colmex.com; colmexpro.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
CommexFx Ltd,244012 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,153/11,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,18/10/2011,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Conotoxia Ltd,351239 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,336/17,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,11/09/2017,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Coverdeal Holdings Ltd,303127 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,231/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,26/03/2014,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Credit Financier Invest (CFI) Ltd,303814 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,179/12,Cyprus Investment Firm,ACTIVE,Current investment firm,25/09/2012,,cfi.trade,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Crowd Tech Ltd,297365 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,202/13,Cyprus Investment Firm,SURRENDER_PENDING,Under examination for voluntary renunciation,14/06/2013,,trade360.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Crowdbase Ltd,414264 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,410/22,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,31/01/2022,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
